has_spo2,has_sleep_tracker,has_stress_monitor,has_gps,has_bluetooth_calling,has_voice_assistant,has_women_health,has_water_resistance,has_music_control,has_notifications,has_aod,sports_modes_count,display_quality,value_for_money_score,feature_richness_score,inferred_segment
False,True,False,False,True,False,False,False,True,False,False,,AMOLED,7.5,6.0,Smart
True,True,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,6.0,Smart
True,True,False,False,True,False,False,False,False,False,False,,AMOLED,8.5,6.0,Smart
False,True,False,False,True,False,False,False,True,False,False,,AMOLED,7.5,5.0,Smart
True,True,False,False,True,False,False,False,False,True,False,,AMOLED,7.5,6.0,Smart
False,False,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
True,True,False,False,True,True,False,False,False,False,False,120.0,AMOLED,7.5,7.0,Smart
False,False,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
False,True,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
False,True,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
True,True,False,False,True,True,False,False,False,False,True,,AMOLED,7.5,6.0,Smart
False,True,False,False,True,True,False,False,False,False,False,,HD,7.5,4.0,Smart
True,True,False,False,True,False,False,False,False,False,False,,AMOLED,7.5,6.0,Smart
False,True,False,False,True,False,False,False,True,False,False,,AMOLED,7.5,6.0,Smart
False,True,False,False,True,False,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
True,False,False,False,True,False,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
True,True,False,False,True,False,False,False,False,False,False,,AMOLED,7.5,6.0,Smart
False,False,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
False,True,False,False,True,True,False,False,False,False,False,,AMOLED,7.5,4.0,Smart
True,True,False,False,True,True,False,False,True,False,False,,AMOLED,7.5,6.0,Smart
