Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions,brand,parent_company,number_of_associated_brands,Calculated Discount %,Discount Suspicious,Display Size (inches),Health Feature Count,Smart Feature Count,Price Anomaly
ULTRON Model Fitness Health Music Smartwatch: The Next Generation...more,ULTRON,905.0,859.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,ULTRON,ULTRON,0,-5.4,True,8.0,4,1,True
"Ezerio Gen 9 Smart Watch for Women with Sleek Metal Dial, Glossy ...more",Ezerio,2416.0,1357.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",Ezerio,Ezerio,0,-78.0,True,8.0,5,2,True
"RGV H9 BT Calling, Fitness tracking Multiple Watch Faces,Sleep Mo...more",RGV,682.0,691.0,85.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,RGV,RGV,0,1.3,True,8.0,5,1,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1470.0,4999.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,0,70.6,False,8.0,4,1,False
OXILAG 5G Gen9 Smart watch With calling Notification 2 straps Hea...more,OXILAG,959.0,911.0,70.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,OXILAG,OXILAG,0,-5.3,True,8.0,5,1,True
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,879.0,1449.0,85.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,39.3,True,8.0,1,2,False
"GameSir IPS HD Round Bluetooth Calling, 120 Sports Modes, Fitness...more",GameSir,1199.0,1599.0,93.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,0,25.0,True,8.0,5,2,False
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1470.0,1509.0,70.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,0,2.6,True,8.0,1,2,False
"S Traditional Trendy latest Gen9 smartwatch, Golden & Pink strap ...more",S,1478.0,4999.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",S,Unknown,0,70.4,False,8.0,4,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,1449.0,1499.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,3.3,True,8.0,2,2,False
